order,date,customer,item,c_sales_amount,quantity,unit_price
11406830,2012-10-24T00:00:00Z,random.eicks@web.de,224761,15.12,1,15.12
11406831,2012-10-24T00:00:00Z,random@aol.com,164486,12.60,1,12.60
11406834,2012-10-24T00:00:00Z,random.l@hotmail.com,226985,27.49,1,27.49
11406835,2012-10-24T00:00:00Z,random@web.de,227593,42.01,1,42.01
11406835,2012-10-24T00:00:00Z,random@web.de,231054,0.00,1,0.00
11406835,2012-10-24T00:00:00Z,random@web.de,234629,10.92,1,10.92
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,229155,14.28,1,14.28
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,244506,0.00,1,0.00
11406837,2012-10-24T00:00:00Z,random.christine@online.de,219863,12.60,1,12.60
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,167549,4.19,1,4.19
11406841,2012-10-24T00:00:00Z,random@gmail.com,808429,10.92,1,10.92
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,164867,5.03,1,5.03
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,243071,15.12,1,15.12
11406852,2012-10-24T00:00:00Z,random@gmail.com,199918,12.60,1,12.60
11406855,2012-10-24T00:00:00Z,random.schaefer@bonn3.de,241849,37.81,1,37.81
11406857,2012-10-24T00:00:00Z,random@yahoo.de,231983,16.80,1,16.80
11406860,2012-10-24T00:00:00Z,random@gmx.de,244506,0.00,1,0.00
11406861,2012-10-24T00:00:00Z,random@web.de,239985,42.01,1,42.01
11406862,2012-10-24T00:00:00Z,random.steger@web.de,234185,71.42,1,71.42
11406863,2012-10-24T00:00:00Z,random@web.de,197123,12.60,1,12.60
11406864,2012-10-24T00:00:00Z,random-Kathrin.Eisele@gmx.de,200599,10.92,1,10.92
11406867,2012-10-24T00:00:00Z,random.nemitz@web.de,218609,10.92,1,10.92
11406868,2012-10-24T00:00:00Z,random@gmx.de,241865,16.80,1,16.80
11406870,2012-10-24T00:00:00Z,random@web.de,240799,16.80,1,16.80
11406871,2012-10-24T00:00:00Z,random@web.de,229825,0.00,1,0.00
11406872,2012-10-24T00:00:00Z,random@web.de,236791,37.81,1,37.81
11406875,2012-10-24T00:00:00Z,random.steffey@gmx.de,170962,75.62,1,75.62
11406878,2012-10-24T00:00:00Z,random-auch94@web.de,242407,10.92,1,10.92
11406879,2012-10-24T00:00:00Z,random.hellhammer@web.de,239223,5.87,1,5.87
11406884,2012-10-24T00:00:00Z,random@gmx.de,242156,16.80,1,16.80
11406885,2012-10-24T00:00:00Z,random@gmx.de,232245,5.87,1,5.87
11406886,2012-10-24T00:00:00Z,random@Gmail.com,227664,15.12,1,15.12
11406887,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,230959,29.40,1,29.40
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,239912,16.80,1,16.80
11406890,2012-10-24T00:00:00Z,random@seznam.cz,244506,0.00,1,0.00
11406893,2012-10-24T00:00:00Z,random.brossart@t-online.de,132808,16.80,1,16.80
11406895,2012-10-24T00:00:00Z,random@vonhagen.ch,244257,27.49,1,27.49
11406897,2012-10-24T00:00:00Z,random@web.de,178856,5.87,1,5.87
11406897,2012-10-24T00:00:00Z,random@web.de,182854,6.71,1,6.71
11406897,2012-10-24T00:00:00Z,random@web.de,240179,10.92,1,10.92
11406900,2012-10-24T00:00:00Z,random@web.de,157664,75.00,1,75.00
11406900,2012-10-24T00:00:00Z,random@web.de,234242,25.20,1,25.20
11406907,2012-10-24T00:00:00Z,random@web.de,204433,16.80,1,16.80
11406907,2012-10-24T00:00:00Z,random@web.de,218145,16.80,1,16.80
11406909,2012-10-24T00:00:00Z,random@hotmail.de,235123,12.60,1,12.60
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234050,12.49,1,12.49
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234531,33.33,1,33.33
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,110490,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,232185,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,234261,25.20,1,25.20
11406787,2012-10-24T00:00:00Z,random@web.de,180405,14.28,1,14.28
11406788,2012-10-24T00:00:00Z,random.D@web.de,239384,37.81,1,37.81
11406789,2012-10-24T00:00:00Z,random@yahoo.de,176991,16.80,1,16.80
11406789,2012-10-24T00:00:00Z,random@yahoo.de,205948,16.80,1,16.80
11406790,2012-10-24T00:00:00Z,random-dessau@t-online.de,239633,58.82,1,58.82
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,168734,4.63,1,4.63
11406793,2012-10-24T00:00:00Z,random@gmail.com,234260,10.92,1,10.92
11406799,2012-10-24T00:00:00Z,random@oc-oranienburg.de,229297,11.76,1,11.76
11406800,2012-10-24T00:00:00Z,random@gmail.com,238339,0.00,1,0.00
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,216229,16.66,1,16.66
11406805,2012-10-24T00:00:00Z,random@hotmail.de,233566,16.80,1,16.80
11406808,2012-10-24T00:00:00Z,random@haberer.biz,226155,15.12,1,15.12
11406808,2012-10-24T00:00:00Z,random@haberer.biz,237193,5.03,1,5.03
11406811,2012-10-24T00:00:00Z,random.rene@web.de,217547,4.19,1,4.19
11406817,2012-10-24T00:00:00Z,random@yahoo.de,163008,15.12,1,15.12
11406821,2012-10-24T00:00:00Z,random@freenet.de,231718,15.12,1,15.12
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,243108,14.99,1,14.99
11406827,2012-10-24T00:00:00Z,random@web.de,233169,29.40,1,29.40
11406828,2012-10-24T00:00:00Z,random@t-online.de,227340,0.00,1,0.00
11406831,2012-10-24T00:00:00Z,random@aol.com,238274,33.61,1,33.61
11406833,2012-10-24T00:00:00Z,random@gmx.de,231166,15.12,1,15.12
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,237375,16.80,1,16.80
11406784,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,162037,14.28,1,14.28
11406786,2012-10-24T00:00:00Z,random.Jundt@web.de,162226,16.80,1,16.80
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,229422,11.76,1,11.76
11406792,2012-10-24T00:00:00Z,random@gmx.de,235927,8.40,1,8.40
11406792,2012-10-24T00:00:00Z,random@gmx.de,243556,20.16,1,20.16
11406797,2012-10-24T00:00:00Z,random.ptock@gmx.de,821182,12.60,1,12.60
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,123628,5.83,1,5.83
11406803,2012-10-24T00:00:00Z,random@live.com,197593,60.86,1,60.86
11406807,2012-10-24T00:00:00Z,random.steger@live.at,236324,33.33,1,33.33
11406807,2012-10-24T00:00:00Z,random.steger@live.at,238712,41.66,1,41.66
11406808,2012-10-24T00:00:00Z,random@haberer.biz,233782,33.61,1,33.61
11406809,2012-10-24T00:00:00Z,random.bebensee@live.de,162473,16.80,1,16.80
11406811,2012-10-24T00:00:00Z,random.rene@web.de,209749,3.35,1,3.35
11406812,2012-10-24T00:00:00Z,random.franziska@gmail.com,241700,16.80,1,16.80
11406815,2012-10-24T00:00:00Z,random.frank1@t-online.de,197514,12.60,1,12.60
11406816,2012-10-24T00:00:00Z,random@hotmail.de,187358,0.00,1,0.00
11406817,2012-10-24T00:00:00Z,random@yahoo.de,194448,21.00,1,21.00
11406820,2012-10-24T00:00:00Z,random@arcor.de,196911,15.96,1,15.96
11406821,2012-10-24T00:00:00Z,random@freenet.de,234985,16.80,1,16.80
11406821,2012-10-24T00:00:00Z,random@freenet.de,240320,12.60,1,12.60
11406822,2012-10-24T00:00:00Z,random@teamfroehlich.de,229097,16.80,1,16.80
11406823,2012-10-24T00:00:00Z,random@yahoo.de,204446,33.61,1,33.61
11406823,2012-10-24T00:00:00Z,random@yahoo.de,240526,29.40,1,29.40
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,179787,41.66,1,41.66
11406825,2012-10-24T00:00:00Z,random@gmx.de,206630,25.20,1,25.20
11406825,2012-10-24T00:00:00Z,random@gmx.de,239988,42.01,1,42.01
11406830,2012-10-24T00:00:00Z,random.eicks@web.de,224761,15.12,1,15.12
11406831,2012-10-24T00:00:00Z,random@aol.com,164486,12.60,1,12.60
11406834,2012-10-24T00:00:00Z,random.l@hotmail.com,226985,27.49,1,27.49
11406835,2012-10-24T00:00:00Z,random@web.de,227593,42.01,1,42.01
11406835,2012-10-24T00:00:00Z,random@web.de,231054,0.00,1,0.00
11406835,2012-10-24T00:00:00Z,random@web.de,234629,10.92,1,10.92
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,229155,14.28,1,14.28
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,244506,0.00,1,0.00
11406837,2012-10-24T00:00:00Z,random.christine@online.de,219863,12.60,1,12.60
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,167549,4.19,1,4.19
11406841,2012-10-24T00:00:00Z,random@gmail.com,808429,10.92,1,10.92
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,164867,5.03,1,5.03
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,243071,15.12,1,15.12
11406852,2012-10-24T00:00:00Z,random@gmail.com,199918,12.60,1,12.60
11406855,2012-10-24T00:00:00Z,random.schaefer@bonn3.de,241849,37.81,1,37.81
11406857,2012-10-24T00:00:00Z,random@yahoo.de,231983,16.80,1,16.80
11406860,2012-10-24T00:00:00Z,random@gmx.de,244506,0.00,1,0.00
11406861,2012-10-24T00:00:00Z,random@web.de,239985,42.01,1,42.01
11406862,2012-10-24T00:00:00Z,random.steger@web.de,234185,71.42,1,71.42
11406863,2012-10-24T00:00:00Z,random@web.de,197123,12.60,1,12.60
11406864,2012-10-24T00:00:00Z,random-Kathrin.Eisele@gmx.de,200599,10.92,1,10.92
11406867,2012-10-24T00:00:00Z,random.nemitz@web.de,218609,10.92,1,10.92
11406868,2012-10-24T00:00:00Z,random@gmx.de,241865,16.80,1,16.80
11406870,2012-10-24T00:00:00Z,random@web.de,240799,16.80,1,16.80
11406871,2012-10-24T00:00:00Z,random@web.de,229825,0.00,1,0.00
11406872,2012-10-24T00:00:00Z,random@web.de,236791,37.81,1,37.81
11406875,2012-10-24T00:00:00Z,random.steffey@gmx.de,170962,75.62,1,75.62
11406878,2012-10-24T00:00:00Z,random-auch94@web.de,242407,10.92,1,10.92
11406879,2012-10-24T00:00:00Z,random.hellhammer@web.de,239223,5.87,1,5.87
11406884,2012-10-24T00:00:00Z,random@gmx.de,242156,16.80,1,16.80
11406885,2012-10-24T00:00:00Z,random@gmx.de,232245,5.87,1,5.87
11406886,2012-10-24T00:00:00Z,random@Gmail.com,227664,15.12,1,15.12
11406887,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,230959,29.40,1,29.40
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,239912,16.80,1,16.80
11406890,2012-10-24T00:00:00Z,random@seznam.cz,244506,0.00,1,0.00
11406893,2012-10-24T00:00:00Z,random.brossart@t-online.de,132808,16.80,1,16.80
11406895,2012-10-24T00:00:00Z,random@vonhagen.ch,244257,27.49,1,27.49
11406897,2012-10-24T00:00:00Z,random@web.de,178856,5.87,1,5.87
11406897,2012-10-24T00:00:00Z,random@web.de,182854,6.71,1,6.71
11406897,2012-10-24T00:00:00Z,random@web.de,240179,10.92,1,10.92
11406900,2012-10-24T00:00:00Z,random@web.de,157664,75.00,1,75.00
11406900,2012-10-24T00:00:00Z,random@web.de,234242,25.20,1,25.20
11406907,2012-10-24T00:00:00Z,random@web.de,204433,16.80,1,16.80
11406907,2012-10-24T00:00:00Z,random@web.de,218145,16.80,1,16.80
11406909,2012-10-24T00:00:00Z,random@hotmail.de,235123,12.60,1,12.60
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234050,12.49,1,12.49
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234531,33.33,1,33.33
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,110490,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,232185,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,234261,25.20,1,25.20
11406787,2012-10-24T00:00:00Z,random@web.de,180405,14.28,1,14.28
11406788,2012-10-24T00:00:00Z,random.D@web.de,239384,37.81,1,37.81
11406789,2012-10-24T00:00:00Z,random@yahoo.de,176991,16.80,1,16.80
11406789,2012-10-24T00:00:00Z,random@yahoo.de,205948,16.80,1,16.80
11406790,2012-10-24T00:00:00Z,random-dessau@t-online.de,239633,58.82,1,58.82
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,168734,4.63,1,4.63
11406793,2012-10-24T00:00:00Z,random@gmail.com,234260,10.92,1,10.92
11406799,2012-10-24T00:00:00Z,random@oc-oranienburg.de,229297,11.76,1,11.76
11406800,2012-10-24T00:00:00Z,random@gmail.com,238339,0.00,1,0.00
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,216229,16.66,1,16.66
11406805,2012-10-24T00:00:00Z,random@hotmail.de,233566,16.80,1,16.80
11406808,2012-10-24T00:00:00Z,random@haberer.biz,226155,15.12,1,15.12
11406808,2012-10-24T00:00:00Z,random@haberer.biz,237193,5.03,1,5.03
11406811,2012-10-24T00:00:00Z,random.rene@web.de,217547,4.19,1,4.19
11406817,2012-10-24T00:00:00Z,random@yahoo.de,163008,15.12,1,15.12
11406821,2012-10-24T00:00:00Z,random@freenet.de,231718,15.12,1,15.12
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,243108,14.99,1,14.99
11406827,2012-10-24T00:00:00Z,random@web.de,233169,29.40,1,29.40
11406828,2012-10-24T00:00:00Z,random@t-online.de,227340,0.00,1,0.00
11406831,2012-10-24T00:00:00Z,random@aol.com,238274,33.61,1,33.61
11406833,2012-10-24T00:00:00Z,random@gmx.de,231166,15.12,1,15.12
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,237375,16.80,1,16.80
11406784,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,162037,14.28,1,14.28
11406786,2012-10-24T00:00:00Z,random.Jundt@web.de,162226,16.80,1,16.80
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,229422,11.76,1,11.76
11406792,2012-10-24T00:00:00Z,random@gmx.de,235927,8.40,1,8.40
11406792,2012-10-24T00:00:00Z,random@gmx.de,243556,20.16,1,20.16
11406797,2012-10-24T00:00:00Z,random.ptock@gmx.de,821182,12.60,1,12.60
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,123628,5.83,1,5.83
11406803,2012-10-24T00:00:00Z,random@live.com,197593,60.86,1,60.86
11406807,2012-10-24T00:00:00Z,random.steger@live.at,236324,33.33,1,33.33
11406807,2012-10-24T00:00:00Z,random.steger@live.at,238712,41.66,1,41.66
11406808,2012-10-24T00:00:00Z,random@haberer.biz,233782,33.61,1,33.61
11406809,2012-10-24T00:00:00Z,random.bebensee@live.de,162473,16.80,1,16.80
11406811,2012-10-24T00:00:00Z,random.rene@web.de,209749,3.35,1,3.35
11406812,2012-10-24T00:00:00Z,random.franziska@gmail.com,241700,16.80,1,16.80
11406815,2012-10-24T00:00:00Z,random.frank1@t-online.de,197514,12.60,1,12.60
11406816,2012-10-24T00:00:00Z,random@hotmail.de,187358,0.00,1,0.00
11406817,2012-10-24T00:00:00Z,random@yahoo.de,194448,21.00,1,21.00
11406820,2012-10-24T00:00:00Z,random@arcor.de,196911,15.96,1,15.96
11406821,2012-10-24T00:00:00Z,random@freenet.de,234985,16.80,1,16.80
11406821,2012-10-24T00:00:00Z,random@freenet.de,240320,12.60,1,12.60
11406822,2012-10-24T00:00:00Z,random@teamfroehlich.de,229097,16.80,1,16.80
11406823,2012-10-24T00:00:00Z,random@yahoo.de,204446,33.61,1,33.61
11406823,2012-10-24T00:00:00Z,random@yahoo.de,240526,29.40,1,29.40
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,179787,41.66,1,41.66
11406825,2012-10-24T00:00:00Z,random@gmx.de,206630,25.20,1,25.20
11406825,2012-10-24T00:00:00Z,random@gmx.de,239988,42.01,1,42.01
11406830,2012-10-24T00:00:00Z,random.eicks@web.de,224761,15.12,1,15.12
11406831,2012-10-24T00:00:00Z,random@aol.com,164486,12.60,1,12.60
11406834,2012-10-24T00:00:00Z,random.l@hotmail.com,226985,27.49,1,27.49
11406835,2012-10-24T00:00:00Z,random@web.de,227593,42.01,1,42.01
11406835,2012-10-24T00:00:00Z,random@web.de,231054,0.00,1,0.00
11406835,2012-10-24T00:00:00Z,random@web.de,234629,10.92,1,10.92
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,229155,14.28,1,14.28
11406836,2012-10-24T00:00:00Z,random.bochum@googlemail.com,244506,0.00,1,0.00
11406837,2012-10-24T00:00:00Z,random.christine@online.de,219863,12.60,1,12.60
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,167549,4.19,1,4.19
11406841,2012-10-24T00:00:00Z,random@gmail.com,808429,10.92,1,10.92
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,164867,5.03,1,5.03
11406843,2012-10-24T00:00:00Z,random-woelm@gmx.de,243071,15.12,1,15.12
11406852,2012-10-24T00:00:00Z,random@gmail.com,199918,12.60,1,12.60
11406855,2012-10-24T00:00:00Z,random.schaefer@bonn3.de,241849,37.81,1,37.81
11406857,2012-10-24T00:00:00Z,random@yahoo.de,231983,16.80,1,16.80
11406860,2012-10-24T00:00:00Z,random@gmx.de,244506,0.00,1,0.00
11406861,2012-10-24T00:00:00Z,random@web.de,239985,42.01,1,42.01
11406862,2012-10-24T00:00:00Z,random.steger@web.de,234185,71.42,1,71.42
11406863,2012-10-24T00:00:00Z,random@web.de,197123,12.60,1,12.60
11406864,2012-10-24T00:00:00Z,random-Kathrin.Eisele@gmx.de,200599,10.92,1,10.92
11406867,2012-10-24T00:00:00Z,random.nemitz@web.de,218609,10.92,1,10.92
11406868,2012-10-24T00:00:00Z,random@gmx.de,241865,16.80,1,16.80
11406870,2012-10-24T00:00:00Z,random@web.de,240799,16.80,1,16.80
11406871,2012-10-24T00:00:00Z,random@web.de,229825,0.00,1,0.00
11406872,2012-10-24T00:00:00Z,random@web.de,236791,37.81,1,37.81
11406875,2012-10-24T00:00:00Z,random.steffey@gmx.de,170962,75.62,1,75.62
11406878,2012-10-24T00:00:00Z,random-auch94@web.de,242407,10.92,1,10.92
11406879,2012-10-24T00:00:00Z,random.hellhammer@web.de,239223,5.87,1,5.87
11406884,2012-10-24T00:00:00Z,random@gmx.de,242156,16.80,1,16.80
11406885,2012-10-24T00:00:00Z,random@gmx.de,232245,5.87,1,5.87
11406886,2012-10-24T00:00:00Z,random@Gmail.com,227664,15.12,1,15.12
11406887,2012-10-24T00:00:00Z,random@hotmail.com,244507,0.00,1,0.00
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,230959,29.40,1,29.40
11406889,2012-10-24T00:00:00Z,random-Peter@t-online.de,239912,16.80,1,16.80
11406890,2012-10-24T00:00:00Z,random@seznam.cz,244506,0.00,1,0.00
11406893,2012-10-24T00:00:00Z,random.brossart@t-online.de,132808,16.80,1,16.80
11406895,2012-10-24T00:00:00Z,random@vonhagen.ch,244257,27.49,1,27.49
11406897,2012-10-24T00:00:00Z,random@web.de,178856,5.87,1,5.87
11406897,2012-10-24T00:00:00Z,random@web.de,182854,6.71,1,6.71
11406897,2012-10-24T00:00:00Z,random@web.de,240179,10.92,1,10.92
11406900,2012-10-24T00:00:00Z,random@web.de,157664,75.00,1,75.00
11406900,2012-10-24T00:00:00Z,random@web.de,234242,25.20,1,25.20
11406907,2012-10-24T00:00:00Z,random@web.de,204433,16.80,1,16.80
11406907,2012-10-24T00:00:00Z,random@web.de,218145,16.80,1,16.80
11406909,2012-10-24T00:00:00Z,random@hotmail.de,235123,12.60,1,12.60
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234050,12.49,1,12.49
11406919,2012-10-24T00:00:00Z,random.graser@gmx.at,234531,33.33,1,33.33
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,110490,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,232185,16.80,1,16.80
11406785,2012-10-24T00:00:00Z,random.maike@gmail.com,234261,25.20,1,25.20
11406787,2012-10-24T00:00:00Z,random@web.de,180405,14.28,1,14.28
11406788,2012-10-24T00:00:00Z,random.D@web.de,239384,37.81,1,37.81
11406789,2012-10-24T00:00:00Z,random@yahoo.de,176991,16.80,1,16.80
11406789,2012-10-24T00:00:00Z,random@yahoo.de,205948,16.80,1,16.80
11406790,2012-10-24T00:00:00Z,random-dessau@t-online.de,239633,58.82,1,58.82
11406791,2012-10-24T00:00:00Z,random.jacki@freenet.de,168734,4.63,1,4.63
11406793,2012-10-24T00:00:00Z,random@gmail.com,234260,10.92,1,10.92
11406799,2012-10-24T00:00:00Z,random@oc-oranienburg.de,229297,11.76,1,11.76
11406800,2012-10-24T00:00:00Z,random@gmail.com,238339,0.00,1,0.00
11406802,2012-10-24T00:00:00Z,random.gundacker@gmx.at,216229,16.66,1,16.66
11406805,2012-10-24T00:00:00Z,random@hotmail.de,233566,16.80,1,16.80
11406808,2012-10-24T00:00:00Z,random@haberer.biz,226155,15.12,1,15.12
11406808,2012-10-24T00:00:00Z,random@haberer.biz,237193,5.03,1,5.03
11406811,2012-10-24T00:00:00Z,random.rene@web.de,217547,4.19,1,4.19
11406817,2012-10-24T00:00:00Z,random@yahoo.de,163008,15.12,1,15.12
11406821,2012-10-24T00:00:00Z,random@freenet.de,231718,15.12,1,15.12
11406824,2012-10-24T00:00:00Z,random.kaefer@chello.at,243108,14.99,1,14.99
11406827,2012-10-24T00:00:00Z,random@web.de,233169,29.40,1,29.40
11406828,2012-10-24T00:00:00Z,random@t-online.de,227340,0.00,1,0.00
11406831,2012-10-24T00:00:00Z,random@aol.com,238274,33.61,1,33.61
11406833,2012-10-24T00:00:00Z,random@gmx.de,231166,15.12,1,15.12
11406838,2012-10-24T00:00:00Z,random.harz@freenet.de,237375,16.80,1,16.80
